용천수 명칭,위치,경도,위도,요약,세부내용
대수굴물 여탕,구좌읍 평대리 2026-8,126°50′23.9″,33°32′5.94″,주변 용천수에 비해 용출량이 많았던 대수굴물(큰물),"물을 이용할 때 삼단으로 구분하여 제일 윗단에는 음용수로 사용하고 중간에는 채소 씻고, 하단에는 빨래를 했다고 한다. 지금도 빨래터로 이용하고 있으며, 지금도 용출량이 많아 지역주민들이 가끔 이용하기도 한다. 특히 무더운 여름철에는 워낙 물이 차가워 사람들이 목욕하는 곳으로 이용되고 있다. 해안도로를 개설하면서도 용출량이 적은 용천수는 매립되었지만 이 용천수는 용출량이 가장 많아 매립하지 않고 보호시설을 설치하여 잘 보존하고 있다. 처음에는 경계돌담과 지붕시설을 했으나 햇빛이 들지 않아 이끼가 많이 생기게 되자 현재는 지붕을 개조하여 목재사이로 태양빛이 들도록 만들었다. 물길은 폭이 넓었으나 시멘트로 물길을 정비하면서 지금의 폭으로 좁아졌다고 한다."
도리깨(모사랑)물,구좌읍 상도리 (남탕),126°51′43″,33°31′31″,,"해녀박물관에서 바닷가 쪽으로 내려오면 세화 해변 동쪽 끝에 도리깨물이 있다. 세화지에는 돈물통이라고 소개하고 있는데, 돈물통이라는 말은 해안가에서 솟아나는 마실 수 있는 단물을 일컫던 말이다. 모사랑물은 솟아나는 물이 모래를 휩쓸 정도로 물살이 셌다고 한다. 모사랑이란 모살(모래)에서 ‘ㄹ’ 이 탈락하여 모살랑에서 모사랑이 됐고, 모살랑은 모래가 있는 바다란 뜻이다. 도리깨의 깨는 개의 경음화현상이며 바닷가라는 뜻이고 도리는 그 지역명이다. 모사랑물 여탕은 모사랑물 남탕 바로 위에 위치하며 1970년대까지도 빨래도 했고 목욕도 했었으나 수도시설이 보급되면서 차츰 이용이 줄어들어서 현재는 사용하지 않고 있다. 사각으로 돌담을 쌓아 잘 보존되고 있으나 지역주민들은 이용하지 않고, 세화해수욕장을 이용하는 관광객들이 모래를 씻어내는데 사용하기도 한다."
도리깨(모사랑)물,구좌읍 상도리 (여탕),126°51′42″,33°31′30″,,"해녀박물관에서 바닷가 쪽으로 내려오면 세화 해변 동쪽 끝에 도리깨물이 있다. 세화지에는 돈물통이라고 소개하고 있는데, 돈물통이라는 말은 해안가에서 솟아나는 마실 수 있는 단물을 일컫던 말이다. 모사랑물은 솟아나는 물이 모래를 휩쓸 정도로 물살이 셌다고 한다. 모사랑이란 모살(모래)에서 ‘ㄹ’ 이 탈락하여 모살랑에서 모사랑이 됐고, 모살랑은 모래가 있는 바다란 뜻이다. 도리깨의 깨는 개의 경음화현상이며 바닷가라는 뜻이고 도리는 그 지역명이다. 모사랑물 여탕은 모사랑물 남탕 바로 위에 위치하며 1970년대까지도 빨래도 했고 목욕도 했었으나 수도시설이 보급되면서 차츰 이용이 줄어들어서 현재는 사용하지 않고 있다. 사각으로 돌담을 쌓아 잘 보존되고 있으나 지역주민들은 이용하지 않고, 세화해수욕장을 이용하는 관광객들이 모래를 씻어내는데 사용하기도 한다."
너른물,구좌읍 하도리,126°51′57″,33°31′37″,바닷가에 넓게 못처럼 형성된 너른물,"해녀들이 물질 후 간단히 몸을 헹구던 곳으로 밀물 때는 바닷물에 잠기기 때문에 경계시설 등을 할 수 없다. 이 물은 큰 암반 안에서 솟아나서 그냥 고여 있는 바닷물로 알고 지나치기 쉬우며, 지금은 자연 그대로 방치되어 있다."
알찍물(말찍물),구좌읍 하도리 3354,126°52′58″,33°31′35″,별방진 안에 있는 성안물,"조선 중종 때 제주 목사 장림이 김녕에 있던 방호소를 이곳으로 옮겨 별방이라 이름 하였는데, 용천수가 나오고 있어서 별방진 위치를 이곳으로 정해서 성벽을 쌓았다고 한다. 별방진성을 구축한 이후에도 이곳에 주둔하는 사람들이 생활용수로 사용했다고 한다. 김상헌의 남사록에는 ‘별방성은 동, 서, 남 세 곳에 문이 있고 성안에는 물이 있으나 물이 짜다.’라고 기록되어 있다. 지금도 물이 솟아나고 있는 모습을 관찰할 수 있지만 도로 우수관이 연결되어 있고 사용하지는 않고 있다. 주위에 돌로 둘려 쌓여 있어 관리가 비교적 잘 되고 있다."
들렁물,구좌읍 하도리 1767-5,126°53′2″,33°31′36″,조석간만의 차에 의해 물이 나왔다 안 나왔다하는 물,"지금은 상수도 보급으로 이용하지 않지만 하도리 마을 전체주민들이 식수뿐만 아니라 빨래도 하고 목욕도 하여 생활용수로 사용하였다. 예전에는 바다와 이어져 있어 밀물과 썰물에 따라 자연스레 물이 드나들어 깨끗했었지만 해안도로 개설로 바다와 분리되었다. 들렁물은 별방진 성벽외부에 접한 해안도로변에 위치하고 있고 경계돌담을 쌓아 보존하고 있지만 용출량도 줄어 현재는 이용하지 않고 있다. 하도리에는 용천수가 많이 존재하지만 생활용수로 사용했던 용천수는 들렁물, 알찍물(말찍물), 펄개물(웃물), 펄개물(알물), 서느렁물 등이었다."
펄개물 웃물,구좌읍 하도리,126°53′36.77″,33°30′37.85″,"갯벌에서 솟아나는 펄개물, 펄랑물",하도리 창흥동 철새도래지 안쪽의 마을은 펄개라고 했다. 이 곳에 두 군데에서 용천수가 흘러나오는데 펄개 웃물과 알물로 구분해서 부르고 있다. 예전에는 마을 사람들이 식수나 생활용수로 사용했었지만 지금은 이용하지 않고 있다. 주변에 경계 돌담을 쌓아 쓰레기를 버리지 못하도록 관리하고 있다.
펄개물 알물,구좌읍 하도리,126°53′37.22″,33°30′38.60″,"갯벌에서 솟아나는 펄개물, 펄랑물",하도리 창흥동 철새도래지 안쪽의 마을은 펄개라고 했다. 이 곳에 두 군데에서 용천수가 흘러나오는데 펄개 웃물과 알물로 구분해서 부르고 있다. 예전에는 마을 사람들이 식수나 생활용수로 사용했었지만 지금은 이용하지 않고 있다. 주변에 경계 돌담을 쌓아 쓰레기를 버리지 못하도록 관리하고 있다.
탕탕물,구좌읍 하도리 947-3,126°53′34.64″,33°30′29.49″,용출량이 많아 밤에도 탕탕 물흐르는 소리가 들리는 물,"하도리 창흥동 철새도래지에 위치한 용천수로 도로정비를 하면서 바위를 깨뜨리자 엄청난 양의 물이 솟아나 밤에 잠자리에서도 탕탕하게 물 흐르는 소리가 들렸다고 해서 탕탕물이라고 한다. 마을 사람들은 음용 및 빨래도 하고 목욕도 하여 생활용수로 사용하였는데, 상수도 보급 이후로 식수로는 잘 이용하지 않는다. 물이 시원하고 용출량이 많아 지금도 여름철에는 지역주민들과 주변 숙박시설에 투숙하는 피서객들이 밤늦게까지 이용하고 있다. 창흥동 철새도래지는 염습지로, 탕탕물, 서느렁물, 구녕물 등 용천수가 흘러들고 바닷물이 교차한다."
엉물,구좌읍 종달리 754,126°54′3″,33°29′23″,큰 바위 밑에서 솟아나는 물,"종달리는 오막개물, 전수물 엉물 등을 중심으로 마을이 형성되었지만 지금은 거의 모두 사라지고, 엉물만이 그 흔적을 찾아볼 수 있는 유일한 물이다. 종달리 청강사 입구에 위치한 이물은 주로 종달리 여성들이 여탕으로 이용하면서 채소도 씻고 빨래도 하였지만 상수도 시설의 보급으로 사용하지 않고 방치되어 있었다. 이후 자연재해로 흙탕물이 유입되어 매립되어진 것을 인근 카페주인이 대형트럭 다섯 대 분량이 토사를 퍼내어 복원하면서 그 모습을 찾을 수 있었다. 현재는 인공적으로 폭포시설을 만들어 물을 순환시키면서 정화시키고 있으며 카페의 정원으로 활용되고 있다."
큰물,성산읍 시흥리(시흥상동로 68번 길),126°53′45.57″,33°28′39.59″,땀띠도 사라지는 약물,"마을 북쪽의 일주도로변 아래, 시흥초등학교 맞은편에 위치해 있는 ‘큰물’은 상수도가 설치되기 전에는 음료수와 생활용수로 사용했다. 예전에는 콸콸 물이 솟아나는 것이 보일정도로 수량이 풍부해 주민들은 물때에 맞춰 허벅을 지고 와 먹을 물을 길어갔고, 여름철에는 더위를 식히러 드나들었던 목욕탕이 되어 주었다. 물통에서 몸을 씻으면 너무 시려 오래 씻을 수 없었다고 하고, 땀띠가 난 사람이 이 물에 담가 앉아있으면 땀띠가 사라지는 약물이었다고 자랑한다. 이 물은 시흥리 주민들이 가장 중요하게 생각하는 식수였고, 좋은 물이라고 기억하는 물통이다. ‘큰물’은 남탕과 여탕으로 구분되었는데, 도로가 생기면서 매립되어 남탕은 흔적이 없고, 여탕은 주위에 팽나무, 먹구슬나무, 후박나무, 쑥대나무 등이 무성하게 둘러싸여 있다. 물통자리는 잘 보이지 않지만 자세히 보면 물이 고여 있음을 확인할 수 있다. 주민들 말로는 남탕 자리에는 화장실을 만들 계획이라고 한다. 한 부부가 대섬머세(멀믜[斗山峯] 뒤쪽)에 살면서 시흥리 입구에 있는 ‘큰물’이라는 샘물을 길어다 먹었다고 한다. 전설에 따르면, 부부의 딸도 남과 같이 허벅으로 이 물을 져 날랐다. 그 길은 좁고 험한 길이었다. 어느 겨울, 설한풍이 몰아치는 날, 딸은 허벅에 물을 지고 그 길을 오르고 있었다. 몰아치는 눈발을 헤치며 가다 보니 내려오는 사슴 한 마리가 눈앞에 딱 마주쳤다. 그때는 인가가 많지 않은 때였으니, 한라산의 사슴들이 눈을 피해서 해변까지 흔히 내려왔다. 사슴은 사람을 보자 길을 꺾어 도망가려 했다. 딸은 허벅을 진 채 훌쩍 내닫더니, 뛰는 사슴을 앞질러 가서 두 뿔을 잡고 홱 돌았다. 사슴이 벌렁 쓰러지는 것이었다. 이렇게 하여 사슴을 잡아 둘러메고 들어가니 부부도 딸의 힘에 놀랐다. 이처럼 마을이 힘이 세다고 전해지는 것은 전설처럼 큰물이 있기 때문이다."
돈물,성산읍 시흥리,126°53′49.43″,33°28′43.13″,,"‘돈물’은 ‘큰물’을 따라 곧장 바다 쪽으로 50m쯤 내려가면 있다. 시흥초등학교 앞으로 바다 쪽으로 난 길을 따라 습지인 갈대밭을 지나 용수로를 가로질러 놓인 둑 위를 걸어가면 나무가 울창한 곳이 보인다. 막다른 곳에 다가서면 밑으로 물이 흐르고 있음을 확인할 수 있다. 서측 벽으로 후박나무, 까마귀쪽나무, 예덕나무, 편백, 송악 등으로 둘러싸여 숲 속에 있는 샘처럼 느껴진다. 수량이 풍부하며 물이 깨끗한데, 짠물이 아니라 단물이 솟아나서 ‘돈물’이라는 이름이 붙었다. 올해부터 서귀포시니어클럽에서 ‘용수로지킴이’를 출범시켜 어르신들로 하여금 용천수 물통 주변을 관리하게 하고 정화활동을 벌이고 있어서 쓰레기들은 많지 않다."
며느리다리(물),성산읍 오조리,126°55′03″,33°27′11″,"물을 건너다 며느리가 빠져 죽고, 3년마다 아이가 빠져 죽는다는 전설이 있는 물","올레1코스인 식산봉을 지나 성산하수종말처리장으로 가는 습지에 있는 ‘며느리다리(물)’는 인가에서 멀리 떨어진 곳이라 식수보다는 빨래나 목욕을 하러 왔던 곳이다. 이곳은 사유지여서 진입이 어렵고, 방치되어 있어서 예전에 자주 다녔던 주민들도 찾아가기가 쉽지 않다. 며느리다리 주변은 담수와 해수가 합수되는 곳으로 바위와 바위사이에 15m의 돌다리를 만들었다. ‘며느리다리(물)’의 정확한 명칭유래는 알 수 없지만 이 곳에서 며느리가 물을 건너다가 빠져죽었다 하여 며누(느)리다리라고 불렀고, ‘메누리도리’라고도 하며 이 부근에서 3년마다 아이가 빠져 죽는다는 전설이 있다고 한다. ‘며느리다리(물)’에는 두 개의 물통이 있었는데 남자들이 이용했던 서쪽의 물통은 아직 모습이 남아 있다. 습지식물이 많이 우거져서 쉽게 찾을 수 없지만 식물 틈새로 보이는 돌담이 이곳이 물통장소임을 확인시켜준다. 여탕은 남탕에서 더 서쪽으로 들어가면 있다고 하지만 수풀이 우거져서 진입이 어렵다. 남탕보다 물이 더 많이 솟았다고 하는데 그래서인지 이 지역은 넓은 물밭이 펼쳐져있다. 주변에는 마그마가 흐르다가 꾸들꾸들하게 굳은 암반지대가 판판하게 넓게 펼쳐진 곳이라 걸어서 다니는데 힘들지 않다."
당뒤물(당두물),성산읍 오조리,126°55′11″,33°28′11″,,"식산봉 동북쪽 해맞이해안로에서 시흥리 방향으로 가다 성산항 서방파제인 오조항으로 들어가면 해녀탈의장이 나온다. 이 지경을 예전에는 ‘당두(당머리)’라고 불렀다. ‘당두물’은 당두포 지경 안에 엄청나게 솟아났던 물로 한 군데가 아니고 주위 여기저기서 물이 솟아나는 지역이었다. 지금은 오조항이 건설되고 도로를 내면서 이젠 그 모습을 볼 수 없다. “당두물은 바다 가운데서 솟는 물도 있고 해안도로로 들어가는 조선소를 근처 바위틈에서도 나오고, 또 더 가면 돌 엉덕 아래에서도 나옵니다.” 엉덕 아래에서 나는 당두물은 지금도 썰물 때가 되면 물이 콸콸 솟아나는 모습을 볼 수 있는데, 해안도로가 나지 않을 때 이곳은 한여름이 되면 수박이나 참외를 갖고 와 담가 놓고 더위를 식혔던 곳이다. 이곳은 해안가 노천변이라 평상시에 여자들은 잘 오지 않았고, 주로 밭에 일하러 오가다 들려 목을 축이거나 몸을 씻는 곳이었다. 여름에는 남자들이 목욕하러 많이 찾던 곳이다."
샛통물(쇠통물),성산읍 오조리(오조로 41번길),126°54′48″,33°27′30″,,"오조리 남쪽을 앞동네라고 했는데 ‘샛통물’은 앞동네 사람들이 주로 식수와 생활용수로 이용했던 물통이다. ‘샛통물’은 여자물통, 남자물통이 따로 구분되어 있는데 안통은 여자가 이용하는 물통이고, 바깥통은 남자가 이용하는 물이다. 입구는 모두 북쪽으로 나있고, 남자물통(바깥통)은 네모형, 여자물통(안통)은 길쭉한 모양이다. 안통은 가장 안쪽이 식수를 긷는 곳이고 그 밑으로 움푹하게 패인 곳에서는 생활용수로 이용했다. 예전에는 물이 펑펑 나왔다고 하지만 지금은 물이 조금 흐르는 흔적만 보인다. 예전에는 안통의 물을 물골 구멍을 만들어서 바깥통으로 연결했고 그 물은 다시 논으로 흘러 농업수로 이용되었다. 현재 물통 안은 완전히 덤불이 되어 물통이었는지 모를 지경이지만 원형이 고스란히 남아있는 물통이라 잘 정비하면 마을 안길의 생태체험지로 남을만 하다."
"수리덕(연미밋물, 연디밋물)",성산읍 오조리,126°54′54″,33°28′20″,어머니를 그리는 사모곡이 깃든 돌 언덕 물,"식산봉 동북쪽 오조리 바다의 진모살 지경에 있는 물로 언덕 밑에 있다. 진모살은 시흥리와 경계의 긴 모래밭을 말한다. 수리덕의 ‘덕’은 솥을 앉힐 때 얹는 돌을 말하기도 하고, ‘덕’이라는 말 속에는 언덕이라는 뜻도 담겨있다고 한다. 이름 속에 언덕과 같이 높은 지경에서 나오는 물임을 짐작할 수 있다. 눈길을 돌리면 바로 앞에 우도가 한눈에 보인다. 해녀가 물질하고 들어오면서 몸 헹구던 물로, 빌레가 길쭉하고 넓적한 곳에서 솟아났는데 보말을 잡으면 씻고 했던 곳이다. 물맛이 그리 좋지는 않았고 인가와는 떨어져 있어서 물을 길러 오지는 않았다. 지금도 여기저기서 물이 나오는 곳이 보일 만큼 수량이 많다. 하지만 물이 나오는 곳은 보말을 잡으러 왔던 사람들이 아무렇게나 돌을 헤집고 가 버려서 용출지점을 쉽게 찾을 수 없다. 이 지역 주민들이 어머니 그릴 때 부르는 노래로 “...우리 어멍 연디 밑 그 흔한 고메기도 그리다간 우리 어머니...” 라고 눈물을 지으며 불렀다. 그 흔한 고메기도 어머니께 드리지 못했음을 한탄하며 불렀던 사모곡인데 이 노래에 나오는 연디 밑이 바로 이곳이라고 한다."
족지물,성산읍 오조리,126°54′53″,33°27′46″,발가락처럼 길게 뻗어 있는 발담그는 물,"‘족지물’은 식산봉을 돌아 오조리 마을 안으로 들어서는 올레2코스로 해안가에 있다. 오조리에는 인가와 떨어진 해안용천수로 수리덕, 연디(연대 앞)물, 당뒤(당두)물 등이 있고 마을 안 용천수로는 죽은디물, 족지물, 엉물, 쇠통물 등이 있다. 그 중에 오조리의 대표적인 용천수는 족지물을 꼽는다. 발가락처럼 길게 뻗었다고 해서 붙인 이름이라고 하지만 확실치는 않고, 마을 주민은 ‘발 담그는 물’이라고 해서 ‘족지물’이라고 말한다. 이 마을은 족지물이 있어서 족지동이라고도 불렀다. 이 물은 식수용이기도 했지만 그보다는 대부분 목욕용과 생활용수로 이용했다. 또 다르게 전하는 내용은 식수용과 우마급수용으로 나누어 이용했는데 지금은 식수용은 여탕, 우마급수용은 남탕이 되었다고도 한다. 족지물은 수량이 풍부하여 이 동네 1백 호는 거뜬히 충당할 수 있는 물이어서 남녀노소 누구나 즐겨 찾곤 했다. 해방 직전까지 남탕 근처에는 호미, 골갱이, 빗창 등을 만드는 불미왕(대장간)이 있었다고 하니, 뜨거운 쇠를 달구는 대장간이 물이 많은 곳에 있었을법하다. 물통을 다시 복구하면서 진입구에 널찍한 계단을 만들었다. 물통은 남탕과 여탕을 만들고 중간에 돌담을 쌓아 두 개의 공간으로 나눴다. 입구 맞은편 한 쪽 벽은 큰 바위 언덕으로 되어있어 병풍처럼 바람을 막아주고 있고, 나머지는 또 돌담으로 빙 둘렀다. 큰 바위 위에는 동백나무, 대나무, 마삭줄, 칡넝쿨 등이 심어져 있어 물통의 풍경을 운치 있게 만들어주고 있다. 지금도 ‘복다리’라는 작은 물고기들이 물통 속을 노닐고 왕깅이(참게)가 바위틈에서 조심스럽게 움직이는 모습이 보인다. 아직도 족지물이 청정한 물임을 입증하는 셈이다. 족지물 앞에는 차 몇 대를 세울 수 있는 주차공간과 쉴 수 있는 정자와 화장실이 있어 지나가는 올레꾼과 주민들에게 잠깐 쉬었다 갈 수 있는 곳이다. “수산리 같은 중산간 마을은 물이 귀했지. 용천수가 없어 참물(항아리에 받은 물), 고인물이나 빗물을 주로 이용했고, 옛날부터 용천수가 많이 솟아나는 오조리는 물이 풍부했어. 가물면 중산간 고성리, 수산리 주민들은 마차를 끌고 오조리로 내려와서 물을 길어가고,.. 그래서 웃드리(중산간 마을)사람들은 잘 씻지도 못했고, 당연히 마루나 방을 걸레질도 못했지. 더러운 생활을 할 수밖에 없는 웃드르 사람들의 생활을 보고 알드르(해안마을) 사람들은 ‘웃드르 촌놈’이라고 하면서 깔봤고,... 웃드르 사람들은 하루 종일 밭일을 하고도 씻을 물이 없으니 작은 콕박새기(바가지) 물 하나로 얼굴과 손을 씻고 그다음 발을 씻고 그 물을 버리지 않고 걸레까지 빨았지”"
캐물,성산읍 수산1리,126°52′37″,33°26′40″,,"‘캐물’은 수산1리와 온평리 경계 일대에 있는 가람지 동산에 있다. 주민들은 캐물이 자연적으로 쩍 벌어져서 생긴 길다란 돌틈새에서 물이 항상 솟아난다고 여겼다. 아무리 가물어도 돌틈새에는 물이 늘 고여 있었기 때문이다. 빌레 돌 틈새는 허벅이 담글 수 있을 정도로 벌어져서 신기하다고 했다. 60여년 전만하드라도 여자들은 캐물을 길러 아침 일찍 집을 나서야 했다. “생빌레 딱 벌러진(벌어진) 디 물허벅 하나 들어갈 정도로 벌러진 곳에서 물이 나완.” “땅이 영 벌러진 디 물 펀찍 어서도(없어도) 아칙(아침)에 왕 보믄 물이 이디 이서. 비가 안와도 가물아도. 딴 디 모여졌당 오는 거 닮아. 물 옛날에 질어당 먹을 때 아침 인칙(일찍) 오민 질어가곡. 돌이 딱 벌러진 돌이주게.” 수산리는 중산간 지역이라 물사정이 좋지않았다. “수도 안 걸(놓을) 때는 나무에 참(새를 머리 땋듯이 한 것) 받앙(받아서) 먹고, 비 오민 바닥에 돌빌레에 물 똘르레(따르러) 가고 경(그렇게) 해낫주(했었지). 항아리 큰 거 받앙, 이건(이게) 낭이민(나무라면) 새 비어당(비어다가) 요추룩행(요렇게해서) 다와그네(땋아서) 영(이렇게) 묶어 놩(놔서) 항아리 놘 받안 먹고해서(먹고했어). 돌빌레에 영 혹(臼,절구)댕이 지면 비 오면 물 골라(고여). 물 골르면 콕박(바가지) 아산(가지고) 강(가서) 그 디(곳) 물 골르면 남(남) 질어가불카부덴(길어가버릴까봐) 밤이(밤에) 사름(사람) 안 본 때 강 잠(잠) 잘 띠(때) 이녁이(자기가) 강 몬저(먼저) 그걸 질어왓주 허벅에. 호끔(조금)이라도 더 질어 오젠게(오려고). 밝앙(밝아서) 가가면(가자면) 늦어......” “물통이름은 ‘소시빌레’ ‘도르믓빌레’, 요딘(여기는) 영(이렇게) 돌라진(두른) 물팡이 시난에(있으니) 물구덕(허벅을 넣는 대바구니) 영 놔둰에(놔두고는) 질어가고 도르못통이라고 핸. 도르못통은 돌빌렌디, 에염은(가장자리는) 담을 싸당(쌓아서) 영 둘러단 한 300평은 뒈어서. 요긴 돌라진 물통이시난 가운데 영 둘러단. 질어당 먹는 물은 가운디는 질어먹는 통, 그 주위는 빨래하고....” 캐물 주위로는 감귤과수원이 있어 담을 쌓아 보호시설은 되어있지만 관리가 안 되어 물통인지 알 수 없다."
구리통물(서개물),성산읍 온평리,126°54′10″,33°24′11″,구리(벵어돔)가 많이 들어오는 구리통의 물,"온평리 마을은 해안선의 길이가 길고, 동쪽과 서쪽으로 개(포구)가 있었는데 두 곳 다 용천수가 있었다. 동개는 수심이 낮아 테우를 정박했던 곳이라 테우개라고도 하였고, 서개(서개맛)는 방파제를 축조하면서 포구의 기능을 갖추어 온평리 어로활동의 중심지가 되었다. ‘구리통물’은 온평리 서쪽 포구에 있는 물이다. 동개와 서개로 잇는 중간에 내륙으로 쑥 들어온 곳을 ‘구리통’이라 불렀는데 ‘구리(벵어돔)’라는 고기가 많이 들어와서 그런 이름이 붙었다고 본다. 그곳에서 솟는 물이라 ‘구리통물’이라고 했다. 온평리 서쪽의 하동사람들이 즐겨 찾는 물통으로 식수라기보다는 생활용수로 이용되었다. 해안도로 양쪽에서 물이 나왔는데, 동쪽은 여자들이 채소를 씻거나 빨래를 하는 곳이었고 서쪽은 남자들이 목욕하는 물통이었다. 지금은 남탕은 복원하였는데 여탕은 도로가 생기면서 멸실되었다."
"괸물(굇물, 궷물)",성산읍 온평리,126°53′24″,33°24′44″,궤(큰 바위나 절벽으로 가려진 깊숙하게 들어간 굴)에서 나오는 물,"온평리 동개에 있는 물로 ‘괸물’, ‘굇물’, ‘궷물’이라 부른다. ‘괸물’은 바로 동포구를 드나들었던 주민들이 이용했다. 해안가에 있는 괸물은 식수로 이용하기보다는 채소를 씻거나 목욕과 빨래를 하는 생활용수였다. 평상시 식수로는 마을 중간지점에 있는 내통물을 길어갔다. 공원조성을 한 후 여탕은 아직도 물이 솟아나고 있지만 남탕은 막혔는지 물이 잘 안 나온다고 한다. 지금은 용천수공원이 되었다. 올레길 2코스 종착점이며 3코스 출발점인 동개 포구를 정비하고 물통도 정비하였다. 물통으로 들어가는 입구에 정자를 세워 쉼터를 제공하고, ‘신비스러운 물 공원쉼터’라는 간판을 내걸고 용천수 체험장으로 조성했다. 배가 드나드는 포구의 역할보다는 방파제 위로 길을 내고 삼성신화를 형상화한 돌조각상까지 세워 수변공원을 만들었다. 포구공원 입구로 들어설 때 오른쪽에 있는 물통이 여자들이 이용했던 곳이고, 왼쪽이 남자 물통이다. 여탕에는 돌담을 어른 키 이상으로 높게 쌓아서 남자들이 넘보지 못하게 했다. 동개와 서개에는 모두 괸물이 있었는데 두 곳 다 물이 많이 솟아나 생활용수로 이용되었다. 더운 여름에는 시원하게 목욕을 할 수 있는 곳이었고 방과 후에는 게를 잡으러 왔던 장소로 어린이들에게는 놀이터나 다름없었다."
만물,성산읍 신산리 바닷가,126°53′04.88″,33°23′04.03″,용출되는 양이 많아 바다 속 작은 내를 이루는 물,"신산리를 '끝동네(그등애)'라 한 이유는 중산간 지대 마을 가운데 가장 끝에 있으면서, 해변 가까운 곳에서 위치한 동네이기 때문이다. 지금도 마을 해변 곳곳에서 다량의 용천수들이 용출되는데, 서쪽으로는 분드르물, 농개물, 동쪽으로는 만물이 있고 마을에서 가장 가까운 가운데에 우알물이 있다. 용천수가 솟는 곳은 조그마한 만(灣)을 이루고 있어 ‘만물’이라 부르며 마을의 앞에 있다고 해서 앞개로도 불린다. 여러 장소에서 담수가 풍부하게 용출되어 만 자체가 바다 호수를 연상하게 한다. 용천수가 다량으로 솟는 곳은 암반과 모래가 뒤섞여 있는데, 소금기가 다소 섞여 있지만 식수와 우마의 급수장으로 이용하던 물이다. 담수욕을 즐길 수 있도록 편의시설을 갖추고, 물 하류에는 커다란 바위로 둑을 만들어 자연 친화적으로 경계를 이루어 현재에도 이용되고 있다."
분드르물1,성산읍 신산리 바닷가,126°52′16.68″,33°22′20.16″,삼달리와 신산리를 나누는 바닷가 들판에서 솟아나는 물,"분드르라는 명칭은 분야(分野), 즉 들판을 나눈다는 말로 바닷가 들판을 삼달리와 신산리로 나누는 들판이라 해서 분드르라 부르는 것으로 추정된다. 이 곳 바닷가에서 솟아나는 용천수를 ‘분드르물’이라 한다. 주어동 포구 동쪽에 있는 분드릿개에서 솟아나는 ‘분드르물’은 만물 못지 않은 큰물로 알려져 있다. 이 분드르 바닷가에는 여러 곳에서 용천수가 솟아나는데 서쪽 주어동 포구쪽에 널리 솟아나는 용천수(분드르물1)와 동쪽 50~60m 지점에서 솟아나는 용천수(분드르물2)로 구분된다. 분드르물1은 주어동 포구를 이용하는 주민들과 예전 전분공장에서 이용해왔고, 분드르물2는 해녀들이 이용하거나 목욕하는 용도로 이용해 왔다. 분드르물1은 폭 10여m에 걸쳐 용천수가 솟아나 많은 양이 바다로 흘러들지만 관리시설이 없다. 분드르물2는 그나마 주변 경계가 암반으로 이루어져 있긴 하지만, 인공적인 관리시설은 없는 상태이다."
분드르물2,성산읍 신산리 바닷가,126°52′20.38″,33°22′20.53″,삼달리와 신산리를 나누는 바닷가 들판에서 솟아나는 물,"분드르라는 명칭은 분야(分野), 즉 들판을 나눈다는 말로 바닷가 들판을 삼달리와 신산리로 나누는 들판이라 해서 분드르라 부르는 것으로 추정된다. 이 곳 바닷가에서 솟아나는 용천수를 ‘분드르물’이라 한다. 주어동 포구 동쪽에 있는 분드릿개에서 솟아나는 ‘분드르물’은 만물 못지 않은 큰물로 알려져 있다. 이 분드르 바닷가에는 여러 곳에서 용천수가 솟아나는데 서쪽 주어동 포구쪽에 널리 솟아나는 용천수(분드르물1)와 동쪽 50~60m 지점에서 솟아나는 용천수(분드르물2)로 구분된다. 분드르물1은 주어동 포구를 이용하는 주민들과 예전 전분공장에서 이용해왔고, 분드르물2는 해녀들이 이용하거나 목욕하는 용도로 이용해 왔다. 분드르물1은 폭 10여m에 걸쳐 용천수가 솟아나 많은 양이 바다로 흘러들지만 관리시설이 없다. 분드르물2는 그나마 주변 경계가 암반으로 이루어져 있긴 하지만, 인공적인 관리시설은 없는 상태이다."
농개물,성산읍 신산리 바닷가,126°52′25.78″,33°22′24.40″,,"농어개는 농어가 많이 들어오는 어장으로, 예전에는 개의 입구를 막아 투망을 하여 고기를 잡던 곳이다. 농어는 민물이 흐르는 바닷가에 많이 나타난다고 한다. 이 농어개에 용천수가 많이 솟아나서 ‘농개물’이라 한다. ‘농개물’은 썰물이 되어야 솟아나는 모습을 확인할 수 있으며 생활용수 및 해녀, 우마용 물로 쓰여 왔다. 만물과 같이 큰 바위로 둑을 쌓아 바닷물과 구분하였는데, 지금은 낚시꾼들이 많이 찾는 장소이다. 담수욕을 할 수 있도록 편의시설을 갖추고, 하류에는 바위로 파도를 막는 경계시설(둑)을 갖추고 있다."
